"","V1","V2","V3","V4","V5"
"1",18.427,4.028,2.757,2.223,3.618
"2",15.349,3.922,2.858,2.163,4.115
"3",15.826,3.949,2.863,2.223,3.841
"4",16.127,4.483,3.332,2.575,4.298
"5",15.758,4.124,2.846,2.283,3.831
"6",15.771,4.307,2.923,2.283,4.211
"7",15.518,4.248,3.343,2.282,3.834
"8",15.828,4.012,2.836,2.283,3.898
"9",17.723,4.007,2.842,2.282,3.838
"10",15.39,5.016,2.994,2.283,3.874
"11",15.345,4.124,2.948,2.569,5.922
"12",15.336,4.433,2.868,2.287,4.391
"13",17.745,4.763,2.846,2.285,4.628
"14",15.4,4.012,2.891,2.283,4.603
"15",15.397,3.886,2.897,2.28,4.529
"16",15.337,3.947,2.77,2.57,4.244
"17",16.077,4.163,2.763,2.218,4.307
"18",15.826,4.128,2.889,2.219,3.826
"19",17.013,4.04,2.899,2.226,3.866
"20",15.338,4.124,2.89,2.221,3.94
"21",15.771,4.236,2.942,2.219,3.833
"22",15.765,4.073,3.262,2.565,3.837
"23",15.395,4.092,2.841,2.219,3.829
"24",15.338,4.007,3.64,2.281,3.901
"25",15.331,4.304,2.903,2.28,3.834
"26",15.386,3.993,3.199,2.283,3.894
"27",15.811,4.032,2.919,2.281,4.293
"28",15.778,4.992,2.92,2.282,5.066
"29",15.33,4.197,2.963,2.28,4.912
"30",15.337,4.682,2.946,2.283,3.754
"31",15.388,4.216,2.928,2.286,4.433
"32",15.345,4.171,2.839,2.286,5.349
"33",15.348,4.02,2.921,2.284,3.897
"34",15.344,4.148,5.063,2.281,3.828
"35",15.345,4.1,2.929,2.285,3.903
"36",15.333,4.662,2.923,2.283,3.828
"37",15.347,4.031,2.939,2.898,3.83
"38",15.767,3.982,2.975,2.283,3.879
"39",15.839,4.032,4.326,3.134,3.829
"40",15.765,3.977,3.098,2.491,3.827
"41",17.734,3.862,3.298,2.63,3.833
"42",15.401,4.777,3.543,2.49,3.854
"43",15.402,4.557,5.19,2.568,3.828
"44",15.777,4.393,3.786,2.282,3.826
"45",15.76,3.92,3.532,2.284,3.92
"46",15.778,3.907,3.524,2.576,3.826
"47",15.386,3.956,3.627,2.567,3.83
"48",15.342,3.939,3.409,2.567,3.825
"49",15.758,4.567,3.404,2.284,3.819
"50",15.826,4.027,3.227,2.224,3.824
"51",15.81,4.233,3.1,2.222,4.309
"52",16.01,3.942,2.92,2.22,3.819
"53",16.232,4.024,2.924,2.221,3.812
"54",15.772,4.047,2.861,2.284,3.831
"55",15.764,4.141,2.984,2.285,3.838
"56",15.813,4.985,2.92,2.283,3.847
"57",15.755,3.998,2.823,2.283,3.821
"58",15.819,4.047,2.832,2.54,3.823
"59",16.057,4.261,2.764,2.285,3.94
"60",15.759,4.17,2.866,2.57,4.306
"61",16.045,3.912,2.817,2.221,4.425
"62",15.794,3.921,2.916,2.568,3.836
"63",15.345,4.047,2.877,2.282,3.724
"64",15.767,3.984,2.921,2.283,3.728
"65",15.82,4.195,3.165,2.281,3.717
"66",20.273,4.56,2.896,2.565,3.725
"67",15.401,4.555,3.33,2.221,3.714
"68",18.786,4.258,3.182,2.218,3.728
"69",15.336,4.306,3.237,2.282,3.83
"70",15.771,4.179,3.084,2.283,4.908
"71",15.764,4.143,2.999,2.283,3.729
"72",15.402,4.058,2.961,2.283,3.721
"73",15.34,4.137,2.949,2.279,4.201
"74",15.344,3.989,2.923,2.285,3.902
"75",15.328,4.341,2.897,2.568,3.829
"76",15.407,3.99,2.868,2.283,3.937
"77",15.332,4.164,2.85,2.568,3.908
"78",15.4,4.246,2.909,2.219,3.82
"79",15.344,4.183,2.888,2.222,4.311
"80",15.334,4.562,3.258,2.937,3.851
"81",17.806,4.061,2.763,2.569,3.953
"82",15.48,4.167,2.924,2.566,3.892
"83",15.406,4.384,2.851,2.219,4.382
"84",15.396,4.417,2.929,2.282,3.819
"85",15.333,4.401,2.908,2.222,3.837
"86",15.374,4.119,2.938,2.284,4.292
"87",15.324,4.957,2.863,2.221,3.938
"88",16.117,4.005,3.292,2.225,3.845
"89",15.762,4.115,2.88,2.283,3.834
"90",15.349,4.128,2.89,2.219,4.291
"91",15.343,5.443,2.928,2.664,3.829
"92",15.391,3.955,2.856,2.285,3.879
"93",15.343,4.38,2.921,2.285,3.926
"94",15.338,4.251,2.866,2.286,3.826
"95",15.342,4.49,2.853,2.282,4.924
"96",15.395,4.192,2.823,2.282,3.891
"97",15.336,4.379,2.773,2.223,3.71
"98",15.346,4.178,2.949,2.221,4.298
"99",15.347,4.327,2.949,2.282,3.728
"100",15.343,4.129,2.899,2.285,3.727
"101",15.389,6.369,2.867,2.285,4.434
