"","V1","V2","V3","V4","V5"
"1",0.024,0.009,0.423,0.006,0.007
"2",0.049,0.01,0.009,0.007,0.005
"3",0.034,0.009,0.009,0.006,0.008
"4",1.715,0.009,0.62,0.006,0.008
"5",0.031,0.007,0.008,0.008,0.007
"6",0.041,0.007,0.007,0.006,0.006
"7",0.059,0.008,0.007,0.008,0.006
"8",0.027,0.011,0.007,0.007,0.006
"9",0.047,0.006,0.008,0.008,0.011
"10",0.029,0.007,0.008,0.006,0.007
"11",0.031,0.007,0.007,0.01,0.008
"12",0.034,0.01,0.009,0.008,1.77
"13",0.038,0.712,0.008,0.008,0.005
"14",5.51,0.01,0.007,0.008,0.006
"15",0.042,0.01,0.008,0.008,0.007
"16",0.039,0.011,0.008,0.006,0.007
"17",0.028,0.009,0.007,0.008,0.009
"18",0.261,0.011,0.006,0.007,0.009
"19",0.224,0.008,0.007,0.006,0.011
"20",0.053,0.007,0.007,0.008,0.011
"21",3.622,0.01,0.539,0.007,0.011
"22",0.027,0.011,0.008,0.009,0.008
"23",0.028,0.014,0.01,0.007,0.008
"24",0.024,0.009,0.01,0.009,0.006
"25",0.039,0.012,0.009,0.006,0.009
"26",0.043,0.02,0.007,0.007,0.009
"27",0.058,0.008,0.009,0.007,0.01
"28",0.028,0.01,0.007,0.009,0.008
"29",3.819,0.01,0.009,0.01,0.011
"30",0.031,0.011,0.009,0.007,0.105
"31",3.428,0.01,0.008,0.006,0.009
"32",0.032,0.01,0.009,0.006,0.005
"33",0.043,0.01,0.007,0.007,0.007
"34",0.027,0.007,0.009,0.007,0.007
"35",0.037,0.01,0.009,0.011,0.025
"36",0.031,0.008,0.008,0.009,0.026
"37",0.028,0.009,0.009,0.008,0.008
"38",0.032,0.009,0.008,0.006,0.009
"39",0.036,0.008,0.008,0.007,0.006
"40",0.025,0.009,0.008,0.006,0.005
"41",0.041,0.009,0.012,0.008,0.01
"42",0.026,0.006,0.008,0.007,0.007
"43",0.057,0.008,0.008,0.008,0.011
"44",0.039,0.008,0.008,0.007,0.007
"45",2.536,0.009,0.006,0.007,0.006
"46",0.023,1.274,0.008,0.007,0.01
"47",0.026,0.012,0.009,0.007,0.029
"48",0.047,0.009,0.008,0.007,0.011
"49",0.04,0.007,0.007,0.007,0.007
"50",0.026,0.008,0.008,0.006,0.1
"51",0.027,0.009,0.008,0.007,0.026
"52",0.044,0.866,0.009,0.009,0.008
"53",0.043,0.01,0.009,0.006,0.019
"54",0.031,3.618,0.016,0.009,0.012
"55",0.028,0.008,0.009,0.008,0.007
"56",0.022,0.008,0.008,0.005,0.008
"57",0.03,0.009,0.009,0.006,0.01
"58",0.036,0.01,0.014,0.008,0.009
"59",0.023,0.008,0.007,0.007,0.006
"60",0.041,0.011,0.012,0.008,0.006
"61",0.033,0.009,0.007,0.007,0.009
"62",0.028,0.009,0.008,0.011,0.009
"63",0.028,0.01,0.009,0.006,0.008
"64",0.032,0.008,2.859,0.009,0.009
"65",0.024,0.011,0.165,0.008,0.008
"66",0.06,0.009,0.009,0.008,0.005
"67",0.031,0.009,0.008,0.006,0.013
"68",0.029,0.011,0.008,0.009,0.007
"69",0.024,0.008,0.007,0.008,0.009
"70",0.028,0.016,0.008,0.009,0.012
"71",0.052,0.01,0.009,0.006,0.012
"72",0.034,0.007,0.007,0.008,0.007
"73",0.027,0.011,0.013,0.008,0.006
"74",0.024,0.008,0.007,0.009,0.009
"75",0.032,0.013,0.009,0.005,0.006
"76",0.182,0.01,0.008,0.008,0.011
"77",0.028,0.01,0.008,0.005,0.01
"78",0.035,0.009,0.01,0.007,0.017
"79",0.023,0.007,0.007,0.009,0.007
"80",0.032,0.008,0.01,0.006,0.005
"81",0.033,0.009,0.008,0.007,0.009
"82",0.029,0.01,0.009,0.007,0.009
"83",0.133,0.008,0.009,0.006,0.008
"84",0.034,0.008,0.01,0.006,0.009
"85",0.03,0.01,0.007,0.006,0.01
"86",0.037,0.009,0.009,0.009,0.007
"87",0.027,0.011,0.006,0.006,0.008
"88",0.022,0.007,0.008,0.007,0.01
"89",0.026,0.012,0.009,0.007,0.008
"90",0.031,1.277,3.913,0.008,0.01
"91",0.032,0.012,0.011,0.007,0.008
"92",0.039,0.01,0.01,0.007,0.011
"93",0.058,0.012,0.008,0.007,0.006
"94",0.031,0.007,0.01,0.007,0.01
"95",0.031,0.01,0.007,0.008,0.011
"96",0.045,0.009,0.007,0.009,0.007
"97",0.027,0.008,2.181,0.007,0.01
"98",0.034,0.01,0.028,0.008,0.011
"99",0.033,0.007,0.012,0.007,0.007
"100",0.032,0.01,0.008,0.005,0.009
"101",0.037,0.01,0.008,0.008,0.016
